sku,quantity,deal_date,unit_price,currency,origin,destination,incoterm,landed_cost,actual_sell
TUNA-YF-WR,25000,2024-02-05,2.99,USD,TH,OM,CFR,33686.229,39749.750
TUNA-YF-WR,25000,2024-02-27,3.20,USD,TH,OM,CFR,35815.111,42261.831
TUNA-YF-WR,12000,2024-03-23,3.02,USD,TH,OM,CFR,16445.371,19405.538
TUNA-YF-WR,9000,2024-04-08,3.54,USD,TH,OM,CFR,14294.275,16867.245
TUNA-YF-WR,20000,2024-04-29,3.39,USD,TH,OM,CFR,30242.994,35686.733
TUNA-YF-WR,9000,2024-05-21,2.96,USD,TH,OM,CFR,12177.558,14369.518
TUNA-YF-WR,12000,2024-06-14,3.49,USD,TH,OM,CFR,18732.399,22104.231
TUNA-YF-WR,9000,2024-07-06,3.10,USD,TH,OM,CFR,12688.489,14972.417
TUNA-YF-WR,25000,2024-07-25,3.54,USD,TH,OM,CFR,39261.873,46329.010
TUNA-YF-WR,12000,2024-08-16,3.42,USD,TH,OM,CFR,18391.777,21702.297
TUNA-YF-WR,15000,2024-09-08,2.85,USD,TH,OM,CFR,19460.184,22963.017
TUNA-YF-WR,12000,2024-09-25,3.39,USD,TH,OM,CFR,18245.796,21530.039
TUNA-YF-WR,15000,2024-10-15,3.04,USD,TH,OM,CFR,20615.863,24326.718
TUNA-YF-WR,15000,2024-11-04,2.98,USD,TH,OM,CFR,20250.912,23896.076
TUNA-YF-WR,18000,2024-11-27,2.97,USD,TH,OM,CFR,24178.105,28530.164
TUNA-YF-WR,15000,2024-12-22,3.18,USD,TH,OM,CFR,21467.416,25331.551
TUNA-YF-WR,9000,2025-01-10,3.43,USD,TH,OM,CFR,13892.828,16393.537
TUNA-YF-WR,9000,2025-01-27,3.33,USD,TH,OM,CFR,13527.876,15962.894
TUNA-YF-WR,20000,2025-02-23,3.22,USD,TH,OM,CFR,28864.290,34059.862
TUNA-YF-WR,25000,2025-03-14,3.31,USD,TH,OM,CFR,36930.240,43577.683
TUNA-YF-WR,12000,2025-03-31,2.93,USD,TH,OM,CFR,16007.429,18888.766
TUNA-YF-WR,25000,2025-04-27,3.14,USD,TH,OM,CFR,35206.859,41544.094
TUNA-YF-WR,15000,2025-05-18,2.95,USD,TH,OM,CFR,21071.858,24864.792
TUNA-YF-WR,12000,2025-06-05,2.97,USD,TH,OM,CFR,16202.070,19118.443
TUNA-YF-WR,15000,2025-06-28,3.43,USD,TH,OM,CFR,22988.046,27125.894
